ID,Group_code,Time_text,Time_code,DOB,Age_years,Gender_text,Gender_code,Hispanic_text,Hispanic_code,Hispanic_dummy,Race_text,Race_White,Race_Black,Race_Asian,Race_AIAN,Race_NHPI,Race_Other,Year_text,Year_code,Major_text,Major_code,Familiar_SchoolPsych_text,Familiar_SchoolPsych,Courses_text,Courses,Know_SchoolPsych_text,Know_SchoolPsych,Interest_SchoolPsych_text,Interest_SchoolPsych,Appeal_text,Appeal_MentalHealth,Appeal_Academics,Appeal_Intervention,Appeal_Assessment,Appeal_children,Appeal_Other,Interest_change_text,Interest_change,Info_SchoolPsych_text,Info_SchoolPsych,Familiar_PosPsych_text,Familiar_PosPsych,Practice_PosPsych_text,Practice_PosPsych,Continue_PosPsych_text,Continue_PosPsych,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5,PANAS_Pos1,PANAS_Pos2,PANAS_Pos3,PANAS_Pos4,PANAS_Pos5,PANAS_Pos6,PANAS_Pos7,PANAS_Pos8,PANAS_Pos9,PANAS_Pos10,PANAS_Neg1,PANAS_Neg2,PANAS_Neg3,PANAS_Neg4,PANAS_Neg5,PANAS_Neg6,PANAS_Neg7,PANAS_Neg8,PANAS_Neg9,PANAS_Neg10,CSSWQ_1,CSSWQ_2,CSSWQ_3,CSSWQ_4,CSSWQ_5,CSSWQ_6,CSSWQ_7,CSSWQ_8,CSSWQ_9,CSSWQ_10,CSSWQ_11,CSSWQ_12,CSSWQ_13,CSSWQ_14,CSSWQ_15,CSSWQ_16,SCS_1,SCS_2,SCS_3,SCS_4,SCS_5,SCS_6,SCS_7,SCS_8,SCS_9,SCS_10,SCS_11,SCS_12,uniqueid
1,0,pre,1,06/07/2001,23.79,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,"White, Asian",1,0,1,0,0,0,Senior,4,Biochem,3,I have heard of it but know very little,2,NA,NA,No,0,Moderately interested,3,Developing and implementing intervention programs,0,0,1,0,0,0,NA,NA,No,0,I have moderate knowledge,3,Often,3,NA,NA,2,5,4,3,5,3,4,3,2,4,4,4,4,2,4,4,4,2,4,2,2,2,2,4,4,2,5,2,5,2,2,2,2,5,5,5,5,5,5,5,5,4,4,2,4,2,4,4,4,4,4,4,4,1
1M,0,mid,2,06/07/2001,23.79,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,"White, Asian",1,0,1,0,0,0,Senior,4,Biochem,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1P,0,post,3,06/07/2001,23.79,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,"White, Asian",1,0,1,0,0,0,Senior,4,Biochem,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,0,pre,1,11/14/2005,19.35,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Engineering First Year,3,I have heard of it but know very little,2,NA,NA,Yes,1,Not interested at all,1,Enhancing academic achievement and learning outcomes,0,1,0,0,0,0,NA,NA,No,0,I have limited knowledge,2,Rarely,1,NA,NA,4,5,5,6,6,2,2,4,2,4,3,2,4,4,3,4,3,3,1,2,4,1,2,2,1,2,5,1,7,6,5,4,2,4,3,6,5,2,2,2,5,3,2,4,3,2,2,4,4,4,3,4,4,2
2M,0,mid,2,11/14/2005,19.35,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Engineering First Year,3,I know some general information,3,No,0,NA,NA,Not interested at all,1,Enhancing academic achievement and learning outcomes,0,1,0,0,0,0,Stayed the same,3,No,0,I have moderate knowledge,3,NA,NA,Moderately likely,3,6,6,5,6,4,3,3,2,4,5,3,4,3,4,4,3,1,1,1,2,3,1,4,3,1,2,5,2,7,6,6,5,5,5,4,6,6,5,4,4,6,2,2,3,2,3,2,3,2,2,3,3,3,2
2P,0,post,3,11/14/2005,19.35,Male,1,"No, not of Hispanic, Latino, or Spanish origin",0,0,White,1,0,0,0,0,0,Freshmen,1,Engineering First Year,3,2P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,3,4,2,3,4,3,3,3,3,3,3,2,1,2,1,4,2,2,1,2,2,5,2,7,7,6,5,5,7,6,6,6,5,5,4,5,3,2,3,4,4,3,4,2,2,3,2,2,2
3,0,pre,1,01/11/2003,22.19,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Senior,4,Electrical Engineering,3,I know some general information,3,NA,NA,No,0,Not interested at all,1,Enhancing academic achievement and learning outcomes,0,1,0,0,0,0,NA,NA,No,0,I have moderate knowledge,3,Rarely,1,NA,NA,4,4,5,6,2,2,4,4,4,4,5,4,4,4,4,4,3,1,1,1,3,1,4,4,2,6,5,5,7,4,4,6,6,6,6,6,7,7,5,5,7,3,3,2,4,4,5,4,5,4,2,4,4,3
3M,0,mid,2,01/11/2003,22.19,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Senior,4,Electrical Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
3P,0,post,3,01/11/2003,22.19,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Senior,4,Electrical Engineering,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
4,1,pre,1,05/14/2004,20.85,Female,2,"No, not of Hispanic, Latino, or Spanish origin",0,0,Asian,0,0,1,0,0,0,Junior,3,Psychology,1,I know some general information,3,NA,NA,Yes,1,Not interested at all,1,Supporting mental health in school environments,1,0,0,0,0,0,NA,NA,No,0,I have moderate knowledge,3,Often,3,NA,NA,6,6,6,6,5,3,4,3,4,3,4,2,4,2,2,4,3,3,4,2,4,2,3,2,2,5,6,6,6,6,6,4,6,6,6,6,6,6,6,4,6,4,3,3,4,4,4,3,3,4,4,4,3,4
